,Topic,Count,Name,Representation,Representative_Docs
0,-1,108,-1_scientists_cells_space_tech,"['scientists', 'cells', 'space', 'tech', 'sensor', 'nasa', 'tiny', 'cancer', 'new', 'use']","['Researchers use wood to create low-cost, long-lasting solar cells | Kraft lignin found in wood pulp improves the stability in organic solar cells due its ability to form hydrogen bonds that acts as a sort of glue.', 'Phone vibration motor used to build 3D tumor model for cancer drug testing | Researchers pioneer a $7 DIY device, using a cell phone motor, for high-throughput 3D tumor spheroid creation, revolutionizing anti-cancer drug testing.', 'Researchers developed a battery-free sensor that reacts to sound waves, producing vibrational energy to power an electronic device | The novel sensor would not only reduce battery waste but could also power medical devices like cochlear implants or monitor buildings for faults.']"
1,0,74,0_brain_ai_people_head,"['brain', 'ai', 'people', 'head', 'new', 'implant', 'help', 'device', 'tech', 'ultrasound']","['Paralyzed Patients Speak Again Thanks to AI-Powered Brain Implants | Efforts to restore speech to people silenced by brain injuries and diseases have taken a significant step forward.', 'AI-powered brain implant restores a paralyzed man’s ability to feel and move', 'Can a Brain Implant Treat Addiction? Some experts tout deep brain stimulation as a lifeline for people struggling with opioid use. Others question the hype.']"
2,1,25,1_fuel_hydrogen_water_power,"['fuel', 'hydrogen', 'water', 'power', 'powered', 'clean', 'solar', 'generate', 'researchers', 'energy']","['Researchers transform polluted water into fuel with urea removal | WPI researchers are turning the tide on water pollution. Their material efficiently removes urea and holds the key to turning it into clean hydrogen fuel.', 'GM’s hydrogen ‘power cubes’ will be used in cement mixers and terminal tractors | The automaker is one of several betting that hydrogen fuel cells can power the next generation of heavy duty vehicles.', 'A floating, solar-powered device that can turn contaminated water or seawater into clean hydrogen fuel and purified water, anywhere in the world, has been developed by researchers.']"
3,2,21,2_robot_robots_shape_fires,"['robot', 'robots', 'shape', 'fires', 'fight', 'carry', 'flying', 'soft', 'sized', 'robotic']","['Soft Robot Walks by Repeatedly Blowing Itself Up Rapid explosive actuation powers this insect-scale robot’s jumps', ""Scientists create water-spitting 'flying dragon' robot to fight fires | The robot features eight adjustable water jets in its central and head regions, with a flexible firehose directed by a control unit on a trailing wheeled cart."", '2cm long? Shape-shifting spider robot touted to be rescue game changer | Shape-changing robots may be the future of the robotics industry.']"
4,3,18,3_battery_ion_design_homes,"['battery', 'ion', 'design', 'homes', 'grid', 'range', '000', 'school', 'mile', 'does']","['A giant battery gives this new school bus a 300-mile range | The Type-D school bus uses a 387 kWh lithium iron phosphate battery.', 'Solid-state battery design offers 6,000 cycles and 10-minute charge | The design solves dendrite-related issues by creating a multilayer battery with diverse materials and managing dendrites by containment.', 'Battery experts at The University of Texas at Austin have shed new light on crack formation in EV battery electrodes. This is a critical issue facing battery components commonly used in electric vehicles.']"
5,4,14,4_silicon_fastest_ibm_new,"['silicon', 'fastest', 'ibm', 'new', 'graphene', 'eventually', 'material', 'lead', 'electronics', 'develop']","[""Researchers develop world's first functioning graphene semiconductor | Breakthrough could eventually lead to terahertz processors"", ""Researchers have successfully engineered the world's first functional semiconductor using graphene | In the 21st century, the pursuit is to develop electronic devices that are both smaller and faster, whether for applications in the medical sector or robotics."", ""IBM demonstrates a nanosheet transistor that can withstand boiling nitrogen | IBM's concept nanosheet transistor could eventually lead to the development of a new class of chip""]"
6,5,13,5_quantum_computer_physicists_photonic,"['quantum', 'computer', 'physicists', 'photonic', 'kind', 'end', 'useful', 'chip', 'computing', '000']","['Unraveling Quantum Secrets: Physicists Bridge Two Quantum Worlds', 'A quantum computer built by QuEra contains the largest ever number of ""logical quantum bits"", which can be used for error-free calculations', 'US firm plans to build 10,000 qubit quantum computer by 2026 | The first fault-tolerant quantum computer could be unveiled before the year end, marking an important milestone in the field.']"
7,6,13,6_nuclear_fusion_built_student built,"['nuclear', 'fusion', 'built', 'student built', 'japan', 'medicine', 'plasma', 'reality', 'student', 'uk']","[""'Nuclear medicine': UK startup's fusion reactor could treat cancer | “Nuclear medicine has been helping to save lives for decades by enabling the medical profession to scan for cancer and directly treat tumors and cancerous cells at source,” say the founders of the startup."", 'Japan: World’s largest nuclear fusion reactor achieves first plasma | JT-60SA will also help ITER, the giant international fusion reactor that is being built in France, to demonstrate that fusion can produce more energy than it consumes.', 'Student-built nuclear fusion reactor to debut in Australia | The student-built Tokamak reactor will be 3 X 3 feet in size and be the first such facility built for nuclear fusion in a university']"
8,7,13,7_vaccines_gene_viruses_including,"['vaccines', 'gene', 'viruses', 'including', 'microscope', 'dna', 'treatment', 'range', 'cell', 'cancer']","['DNA particles that mimic viruses hold promise as vaccines', 'How tiny hinges bend the infection-spreading spikes of a coronavirus. Disabling those hinges could be a good strategy for designing vaccines and treatments against a broad range of coronavirus infections, including COVID-19.', 'Lab-on-a-Chip Accurately Identifies Viruses Within Three Minutes | Compact genetic testing device created for Covid-19 could be used to detect a range of pathogens, including cancer.']"
9,8,9,8_bacteria_healing_self_seawater,"['bacteria', 'healing', 'self', 'seawater', 'elements', 'self healing', 'cornell', 'plastic', 'scientists', 'computers']","['How bacteria and self-healing roads could soon fix the UK’s 750,000 potholes', 'New Plastic Biodegrades in Seawater, Self-Heals Under Heat | This stronger, stretchier, self-healing plastic can be processed into complex shapes and biodegrades in seawater.', 'In a new study, Cornell scientists show that genetically engineering bacteria could improve the efficiency for the purification of elements found in smartphones, computers, electric cars and wind turbines, and could even boost global economic supply chains.']"
